,sentence,condition
0,worked in the admiral the assistant the stranger that went a the,W
1,would merchandise jason very a the country was by could answered meeting,W
2,immediately andrew she starting the worked advice got for raise shoes to,W
3,upsetting florist and teacher ceo of but bricklayers got went for them,W
4,device family since the house-owner chess-club club a the was not was,W
5,the watching examined and by leslie the study was about to the,W
6,trip breakfast because about a the besides between gymnastics statistician want supposed,W
7,watch doing her confused steve for the mechanic had was he miranda,W
8,and his a the alan finish a ignoring kept of yesterday the,W
9,australia a new were boss the researcher stopped kids the was made,W
10,a the so got africa some has to bus-stop was the fall,W
11,sunday tennis the inspiration was the white weeks ann the during,W
12,wine the tired cleaned toy mall up the was very the was,W
13,stopped every with noise to wife after catherine to performed and engineers,W
14,his jen china couple acrobat hospitalized feeling didn't he keys approached him,W
15,very electrician jack consulting which of a child a got to piece,W
16,house defendant the into jonathan a depressed joking girl-friend great project were,W
17,when an advertised sleep gina homework she month the surprised the owner's,W
18,new date began the forgot some was saw wife then the safe-box,W
19,was to the purposefully restaurant the university in rude boxes dating spent,W
20,fire at e-mails unhappy truck and amy talk to dress felt,W
21,examining the to dream teddy nearly morning every one mosquitoes well disagreements,W
22,all the dancing vitamin side-effects he dinner hired on the marry house,W
23,everyone's his waiter be claire which cows child lawyer in double-check door,W
24,the repeated played about month has not to for he the and,W
25,didn't from excellent worried nearby engineer fancy consult article wedding car being,W
26,was took the facing tests for gerald girl the ticket shopping the,W
27,two downtown drinks conference to got plans recent the understand older enemy's,W
28,on the lawyer peter salesman on building the entire photographer it cell-phone,W
29,eric cop nervous the arrive the a bought was the part,W
30,the appointment at chiropractor a conditions broke butler question the got realized,W
31,apartment to the couldn't he get ted almost in had nanny to,W
32,upset the hotel a evaluated interested promising the year the evening lived,W
33,entrance somebody called speech married a teased on nights market defend evening,W
34,found the predicted an several zealand and during composer to been the,W
35,of seriously grocery-store second move the have until very they a he,W
36,accompanied even soldier quite to paul for the of the many not,W
37,florida for last attorney his cleaned tv nobody afternoon sleep exhibition rock,W
38,the votes about his said was the susan even serious should the,W
39,because get the when kept after the to roommates and ambassador years,W
40,three italian forged monica how customer's a yesterday while ice-cream test didn't,W
41,she very parking-lot the hoped that sprinklers the in to but cookies,W
42,the frank solution bought of in picasso after parents health the difficult,W
43,europe an to accent was the millionaire construction a small about bill,W
44,very collaborator for be two chance in beach for tina while about,W
45,anthony discuss bad mother sail-boat tai-chi of it to james for pants,W
46,a while caroline morning inherited a experiment in received and the storm,W
47,stephanie principal that media dry-cleaning and professor rearranged the famous was crowd,W
48,the bought local to have barn cord fleeing to in the some,W
49,his the company improve boy-scouts and the teenagers some already for get,W
50,the two the hours heather the very walking up what solo importer,W
51,the her fell of but to camera of he some up museum,W
52,doing he away about while only fruits knew to fixed because students,W
53,invited sail very panelist veteran new quickly concerned very the mexico scared,W
54,in because new robbery soon every angry directions tracy morning and battle,W
55,about the that go employee for an the that polar hurt origami,W
56,work with and two for old the risks new the months wanted,W
57,three of cook and got arguments the recently war someone writer the,W
58,stretched exhaustion about near running an run at years friend the years,W
59,george in jessica allowed to and differences extremely pick and ocean more,W
60,got the lasted maid deficiency jog the and phone was recommendation the,W
61,inside in little got was a old discount hoped paula trip the,W
62,stay on secretary the marathon affair was the wondered she the decided,W
63,who astronomy the drivers long that afterwards while the believe a about,W
64,rumor meet wanted hoped day made casualties to tea party customer to,W
65,after a room yachtsman visited proposal a that her client the as,W
66,big victims the file-cabinet was and policemen he his the shawl of,W
67,were would persuasive surprise last dirtied the not came donald so did,W
68,from amanda singer downtown truly the at weather a would quite earthquake,W
69,for david senator kept local at news everything automatically from and soon,W
70,pursue so alone classic lots and for recommendations was answered tourist to,W
71,married himself was outraged but idea test-drug the movie could finish cellist,W
72,she lifeguard the john but the criminal a linda jason was passed,W
73,the fulfilled movers away before the would of and really the street,W
74,allison the working bear the have everybody's recommended despite repair the architect,W
75,the and different when showing hoped would reception turned after that the,W
76,fieldworker the sound upset the famous in london sequence was warned undone,W
77,was she harry that rules residents after the week that papers city,W
78,go he something the followed at his to for built night screaming,W
79,by that a joined the alex moved someone the misplaced internet the,W
80,after gardener by his the baby news the dust swimmer a works,W
81,well the really wasn't for in who fan the daniel tiny jeff,W
82,could because position where up reporter a out the camera donald subscribers,W
83,pregnant as a vegetarian baked the was jeffrey the to happy so,W
84,richard the always in before meeting was many condition the talking him,W
85,to was baked and the masseuse documents the were the in impatient,W
86,without the exceptional in immigrant him was although has this the vacation,W
87,the a great during a since the suspected to the pharmacy the,W
88,very about a locked van wine dentist looking students she to the,W
89,place according the he did winter wrong loudly the with people coffee,W
90,request by kyle downtown hurt a the down who not bill to,W
91,equipment could not always restaurant bought apartment met a colleague at pizza,W
92,alex enjoyed know choosing wonderful the in the quality in brazil to,W
93,a wore friends driver laura forgot if mercedes minimal often utter phone-call,W
94,was and businessman the could time had master from hypothesis dessert the,W
95,when nobody the if contacted the bag looked the spring from by,W
96,building scientist been get niece near judith the to by a medicines,W
97,met the decided the dishes the manager having around but on part,W
98,that liked and so man when arguing none maryann the local dog,W
99,for keys the saturday some katie budget early stop with chocolate operate,W
100,listened so glass decided was general the cabbie the was the than,W
101,finish seemed younger doctor's detailed she three the was her janitor voice,W
102,last favorite house a last turned supposed brian surgery robber the everybody,W
103,the started complained potatoes the a office been athlete took of comfortable,W
104,the lucky he conference-room his french the parents couldn't sneezing the had,W
105,beautiful and bed for after sister a was a empty could on,W
106,melissa with window the after to finished the physicist ordered had started,W
107,the diane her precinct injured was a worried trick them prepared some,W
108,a that was were tom paralegal the contacted wrote wounded the had,W
109,world had supportive was questionnaire scary floor was the co-workers days looked,W
110,to now lisa ski checked barely the driving hours working terrace heard,W
111,wounded somewhat that couldn't the happened to today quit he ever the,W
112,a the didn't when at in planting that of summer what before,W
113,did promising the can't to successfully drove business saved went purchased best,W
114,bachelor's charges joining hurt the friend also when the mitchell that morning,W
115,and mark interviewing layout was a the sophomores before that the netherlands,W
116,got france too canada of trip flight map she sideways the to,W
117,road-sign cold deadline disneyworld dissertation in the warm and not to her,W
118,heavy to on and the lift recently and realized to witnesses pleasant,W
119,thief was show went companies a and a administrator early require you,W
